gender,name
M,Thomas Mitchell
M,Walter Brennan
M,Joseph Schildkraut
M,Keanu Reeves
M,Channing Tatum
M,Hugh Jackman
M,Dwayne Johnson
M,Adam Sandler
M,Daniel Radcliffe
M,Daniel Craig
M,Ryan Gosling
M,Vin Diesel
?,Ben Affleck
M,Chris Pine
F,Olympia Dukakis
F,Peggy Ashcroft
F,Linda Hunt
F,Maureen Stapleton
F,Mary Steenburgen
F,Beatrice Straight
F,Vanessa Redgrave
F,Lee Grant
F,Eileen Heckart
F,Cloris Leachman
F,Ruth Gordon
F,Estelle Parsons
F,Sandy Dennis
F,Shelley Winters
F,Maggie Gyllenhaal
F,Katie Holmes
F,Patty Duke
F,Rita Moreno
F,Wendy Hiller
F,Miyoshi Umeki
F,Dorothy Malone
F,Jo Van Fleet
F,Eva Marie Saint
F,Gloria Grahame
F,Kim Hunter
M,Andrew Garfield
M,Jeremy Renner
M,Steve Carell
M,Jake Gyllenhaal
M,Chris Evans
M,James Franco
M,Zach Galifianakis
M,Will Ferrell
M,Shia LaBeouf
M,Seth Rogen
M,Joseph Gordon-Levitt
M,Ryan Reynolds
M,Paul Rudd
M,Jason Segel
M,Jason Statham
?,Justin Timberlake
M,Dick Van Dyke
M,Zac Efron
M,Jesse Eisenberg
M,Owen Wilson
M,Jason Bateman
?,Tyler Perry
M,Liam Hemsworth
M,William Shatner
M,Shah Rukh Khan
F,Thora Birch
F,Claire Trevor
F,Celeste Holm
F,Anne Baxter
F,Queen Latifah
F,Ethel Barrymore
F,Rosario Dawson
F,Teresa Wright
F,Mary Astor
F,Jane Darwell
F,Alicia Vikander
F,Mia Wasikowska
F,Abigail Breslin
F,Gale Sondergaard
F,Melissa McCarthy
?,Tina Fey
F,Zoe Saldana
F,Elisabeth Moss
F,Adrianne Palicki
F,Jennifer Garner
F,Kristen Wiig
F,June Squibb
F,Sally Hawkins
F,Kaley Cuoco
F,Naomi Watts
M,Josh Hutcherson
M,Charlie Hunnam
M,Nicholas Hoult
M,Aaron Taylor-Johnson
M,Bryan Cranston
M,Gerard Butler
M,Paul Walker
M,Karl Urban
